"ViewName","ViewLanguage","ColumnName","TotalRows","NonNullCount","EntityName_EN","Column_EN","Column_FR","MapStatus","PsseSourceSchema","PsseSourceObject","PsseColumnName","SourceExpression","FallbackExpression"
"AssignmentBaselines","EN","Assignment","25980","0","AssignmentBaselines","Assignment","Affectation","NAVIGATION","","","","",""
"AssignmentBaselines","EN","AssignmentBaselineTimephasedDataSet","25980","0","AssignmentBaselines","AssignmentBaselineTimephasedDataSet","JeuDonnéesChronologiquesRéférenceAffectation","NAVIGATION","","","","",""
"AssignmentBaselines","EN","Project","25980","0","AssignmentBaselines","Project","Projet","NAVIGATION","","","","",""
"AssignmentBaselines","EN","Task","25980","0","AssignmentBaselines","Task","Tâche","NAVIGATION","","","","",""
"PlanningsRéférenceAffectation","FR","Affectation","25980","0","AssignmentBaselines","Assignment","Affectation","NAVIGATION","","","","",""
"PlanningsRéférenceAffectation","FR","JeuDonnéesChronologiquesRéférenceAffectation","25980","0","AssignmentBaselines","AssignmentBaselineTimephasedDataSet","JeuDonnéesChronologiquesRéférenceAffectation","NAVIGATION","","","","",""
"PlanningsRéférenceAffectation","FR","Projet","25980","0","AssignmentBaselines","Project","Projet","NAVIGATION","","","","",""
"PlanningsRéférenceAffectation","FR","Tâche","25980","0","AssignmentBaselines","Task","Tâche","NAVIGATION","","","","",""
