"ViewName","ViewLanguage","ColumnName","TotalRows","NonNullCount","EntityName_EN","Column_EN","Column_FR","MapStatus","PsseSourceSchema","PsseSourceObject","PsseColumnName","SourceExpression","FallbackExpression"
"Affectations","FR","Afficherrapport_T","1772","0","Assignments",,,"MAPPED","pjrep","MSP_EpmAssignment_UserView","Afficher rapport_T","src.[Afficher rapport_T]",
"Affectations","FR","AssignmentAllUpdatesApplied","1772","0","Assignments",,,"MAPPED","pjrep","MSP_EpmAssignmentsApplied_UserView","AssignmentAllUpdatesApplied","jAssignApplied.[AssignmentAllUpdatesApplied]",
"Affectations","FR","AssignmentUpdatesAppliedDate","1772","0","Assignments",,,"MAPPED","pjrep","MSP_EpmAssignmentsApplied_UserView","AssignmentUpdatesAppliedDate","jAssignApplied.[AssignmentUpdatesAppliedDate]",
"Affectations","FR","Catdepenses_R","1772","0","Assignments",,,"MAPPED","pjrep","MSP_EpmAssignment_UserView","Cat depenses_R","src.[Cat depenses_R]",
"Affectations","FR","CodelivrableGID_T","1772","0","Assignments",,,"MAPPED","pjrep","MSP_EpmAssignment_UserView","Code livrable GID_T","src.[Code livrable GID_T]",
"Affectations","FR","Commentaire_GPR_T","1772","0","Assignments",,,"MAPPED","pjrep","MSP_EpmAssignment_UserView","Commentaire_GPR_T","src.[Commentaire_GPR_T]",
"Affectations","FR","DateapprouvéeDGEI_T","1772","0","Assignments",,,"MAPPED","pjrep","MSP_EpmAssignment_UserView","Date approuvée DGEI_T","src.[Date approuvée DGEI_T]",
"Affectations","FR","DatedemandéeDGT_T","1772","0","Assignments",,,"MAPPED","pjrep","MSP_EpmAssignment_UserView","Date demandée DGT_T","src.[Date demandée DGT_T]",
"Affectations","FR","Dateoccupation_T","1772","0","Assignments",,,"MAPPED","pjrep","MSP_EpmAssignment_UserView","Date occupation_T","src.[Date occupation_T]",
"Affectations","FR","DébutRéférenceFinRéférence","1772","0","Assignments",,,"NAVIGATION","","","","",
"Affectations","FR","DernierPCatteinttache_T","1772","0","Assignments",,,"MAPPED","pjrep","MSP_EpmAssignment_UserView","Dernier PC atteint tache_T","src.[Dernier PC atteint tache_T]",
"Affectations","FR","DonnéesChronologiques","1772","0","Assignments",,,"NAVIGATION","","","","",
"Affectations","FR","ÉcartPC0PC1_T","1772","0","Assignments",,,"MAPPED","pjrep","MSP_EpmAssignment_UserView","Écart PC0-PC1_T","src.[Écart PC0-PC1_T]",
