"ViewName","ViewLanguage","ColumnName","TotalRows","NonNullCount","EntityName_EN","Column_EN","Column_FR","MapStatus","PsseSourceSchema","PsseSourceObject","PsseColumnName","SourceExpression","FallbackExpression"
"JeuDonnéesChronologiqueRéférenceTâche","FR","Heure","1609260","0","TaskBaselineTimephasedDataSet","Time","Heure","NAVIGATION","","","","",""
"JeuDonnéesChronologiqueRéférenceTâche","FR","PlanningsDeRéférenceTâche","1609260","0","TaskBaselineTimephasedDataSet","TaskBaselines","PlanningsDeRéférenceTâche","NAVIGATION","","","","",""
"JeuDonnéesChronologiqueRéférenceTâche","FR","Projet","1609260","0","TaskBaselineTimephasedDataSet","Project","Projet","NAVIGATION","","","","",""
"JeuDonnéesChronologiqueRéférenceTâche","FR","Tâche","1609260","0","TaskBaselineTimephasedDataSet","Task","Tâche","NAVIGATION","","","","",""
"TaskBaselineTimephasedDataSet","EN","Project","1609260","0","TaskBaselineTimephasedDataSet","Project","Projet","NAVIGATION","","","","",""
"TaskBaselineTimephasedDataSet","EN","Task","1609260","0","TaskBaselineTimephasedDataSet","Task","Tâche","NAVIGATION","","","","",""
"TaskBaselineTimephasedDataSet","EN","TaskBaselines","1609260","0","TaskBaselineTimephasedDataSet","TaskBaselines","PlanningsDeRéférenceTâche","NAVIGATION","","","","",""
"TaskBaselineTimephasedDataSet","EN","Time","1609260","0","TaskBaselineTimephasedDataSet","Time","Heure","NAVIGATION","","","","",""
