LookupTableId,LookupTableName,EntryId,EntryCode,EntryLabel,ParentEntryId,EntityType,CustomFieldId,CustomFieldName,FieldType,SourceSystem
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,c4a1d03f-73b9-ed11-94cd-0050569e9064,ESD,EO.ESD,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,c5a1d03f-73b9-ed11-94cd-0050569e9064,ESP,EO.ESP,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,1ec0bbd5-fdb8-ed11-94cd-0050569e9064,ETUD,EO.ETUD,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,1fc0bbd5-fdb8-ed11-94cd-0050569e9064,EXP,EO.EXP,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,21c0bbd5-fdb8-ed11-94cd-0050569e9064,GAP,EO.GAP,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,23c0bbd5-fdb8-ed11-94cd-0050569e9064,AOP,EO.GAP.AOP,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,54aab222-71b9-ed11-8f37-0050569ee75c,CSelec,EO.GAP.CSelec,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,22c0bbd5-fdb8-ed11-94cd-0050569e9064,DemMAND,EO.GAP.DemMAND,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,24c0bbd5-fdb8-ed11-94cd-0050569e9064,NEGO,EO.GAP.NEGO,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,f1e672cd-6214-ee11-b496-0050569ee75c,PREP,EO.GAP.PREP,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,25c0bbd5-fdb8-ed11-94cd-0050569e9064,Scont,EO.GAP.Scont,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,53aab222-71b9-ed11-8f37-0050569ee75c,TRDoc,EO.GAP.TRDoc,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,c6a1d03f-73b9-ed11-94cd-0050569e9064,IBD,EO.IBD,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,c7a1d03f-73b9-ed11-94cd-0050569e9064,IBP,EO.IBP,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,f3aa66e3-00a5-45f0-9bf4-890e4196b6cc,ERF,ERF,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,8ac9f8a3-6db6-41fc-8d81-46d270bef9cb,CONC,ERF.CONC,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,bb5a84da-a6b7-ed11-8f37-0050569ee75c,ENTR,ERF.ENTR,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,2fe03c67-d4ff-4c29-8c84-4ccf6578a5ed,SRV,ERF.SRV,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,47a6f4d7-f8b8-ed11-94cd-0050569e9064,FED,FED,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,46e5e6f8-4ebc-ed11-8f37-0050569ee75c,ACT,FED.ACT,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,54a6f4d7-f8b8-ed11-94cd-0050569e9064,DemLENC,FED.DemLENC,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,4ea6f4d7-f8b8-ed11-94cd-0050569e9064,GAP,FED.GAP,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,50a6f4d7-f8b8-ed11-94cd-0050569e9064,AOP,FED.GAP.AOP,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,56aab222-71b9-ed11-8f37-0050569ee75c,CSelec,FED.GAP.CSelec,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,4fa6f4d7-f8b8-ed11-94cd-0050569e9064,DemMAND,FED.GAP.DemMAND,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,51a6f4d7-f8b8-ed11-94cd-0050569e9064,NEGO,FED.GAP.NEGO,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,52a6f4d7-f8b8-ed11-94cd-0050569e9064,Scont,FED.GAP.Scont,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,55aab222-71b9-ed11-8f37-0050569ee75c,TRDoc,FED.GAP.TRDoc,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,53a6f4d7-f8b8-ed11-94cd-0050569e9064,LENC,FED.LENC,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,48a6f4d7-f8b8-ed11-94cd-0050569e9064,NAV,FED.NAV,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,49a6f4d7-f8b8-ed11-94cd-0050569e9064,ACT,FED.NAV.ACT,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,47e5e6f8-4ebc-ed11-8f37-0050569ee75c,AIP,FED.NAV.AIP,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,4aa6f4d7-f8b8-ed11-94cd-0050569e9064,AVIS,FED.NAV.AVIS,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,4ba6f4d7-f8b8-ed11-94cd-0050569e9064,PEC,FED.PEC,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,4ca6f4d7-f8b8-ed11-94cd-0050569e9064,ACT,FED.PEC.ACT,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,4da6f4d7-f8b8-ed11-94cd-0050569e9064,Dem,FED.PEC.Dem,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,8517dfca-58bf-ed11-b942-0050569ee75c,RLENC,FED.RLENC,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,3051c85e-2044-4e8b-9af1-24ce18652949,GEO,GEO,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,5129fbcb-a8b7-ed11-8f37-0050569ee75c,ACT,GEO.ACT,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,84935588-b636-ec11-9cc7-0050569ee75c,AGEO,GEO.AGEO,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,5229fbcb-a8b7-ed11-8f37-0050569ee75c,DemAVIS,GEO.DemAVIS,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,5329fbcb-a8b7-ed11-8f37-0050569ee75c,DemEPUIT,GEO.DemEPUIT,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,270a5cc2-dfb2-4489-9a2a-9a9f85e340b4,DemETUD,GEO.DemETUD,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,85935588-b636-ec11-9cc7-0050569ee75c,EGEO,GEO.EGEO,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,5429fbcb-a8b7-ed11-8f37-0050569ee75c,EGEOPREL,GEO.EGEOPREL,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,5529fbcb-a8b7-ed11-8f37-0050569ee75c,EPEDO,GEO.EPEDO,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,5629fbcb-a8b7-ed11-8f37-0050569ee75c,EPUIT,GEO.EPUIT,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,5729fbcb-a8b7-ed11-8f37-0050569ee75c,GAP,GEO.GAP,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,5929fbcb-a8b7-ed11-8f37-0050569ee75c,AOP,GEO.GAP.AOP,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,58aab222-71b9-ed11-8f37-0050569ee75c,CSelec,GEO.GAP.CSelec,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,5829fbcb-a8b7-ed11-8f37-0050569ee75c,DemMAND,GEO.GAP.DemMAND,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,5a29fbcb-a8b7-ed11-8f37-0050569ee75c,NEGO,GEO.GAP.NEGO,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,f2e672cd-6214-ee11-b496-0050569ee75c,PREP,GEO.GAP.PREP,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,5b29fbcb-a8b7-ed11-8f37-0050569ee75c,Scont,GEO.GAP.Scont,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,57aab222-71b9-ed11-8f37-0050569ee75c,TRDoc,GEO.GAP.TRDoc,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,86935588-b636-ec11-9cc7-0050569ee75c,GOUV,GOUV,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,f3e672cd-6214-ee11-b496-0050569ee75c,AACOUPC1,GOUV.AACOUPC1,,,,,,ProjectServer
127c9a9e-fcda-4fcd-89ac-fa097c96242b,Indicateur Type tache,f4e672cd-6214-ee11-b496-0050569ee75c,AACOUPC3,GOUV.AACOUPC3,,,,,,ProjectServer
