"ViewName","ViewLanguage","ColumnName","TotalRows","NonNullCount","EntityName_EN","Column_EN","Column_FR","MapStatus","PsseSourceSchema","PsseSourceObject","PsseColumnName","SourceExpression","FallbackExpression"
"AssignmentTimephasedDataSet","EN","Assignment","2408581","0","AssignmentTimephasedDataSet","Assignment","Affectation","NAVIGATION","","","","",""
"AssignmentTimephasedDataSet","EN","Project","2408581","0","AssignmentTimephasedDataSet","Project","Projet","NAVIGATION","","","","",""
"AssignmentTimephasedDataSet","EN","Task","2408581","0","AssignmentTimephasedDataSet","Task","Tâche","NAVIGATION","","","","",""
"AssignmentTimephasedDataSet","EN","Time","2408581","0","AssignmentTimephasedDataSet","Time","Heure","NAVIGATION","","","","",""
"JeuDonnéesChronologiquesAffectation","FR","Affectation","2408581","0","AssignmentTimephasedDataSet","Assignment","Affectation","NAVIGATION","","","","",""
"JeuDonnéesChronologiquesAffectation","FR","Heure","2408581","0","AssignmentTimephasedDataSet","Time","Heure","NAVIGATION","","","","",""
"JeuDonnéesChronologiquesAffectation","FR","Projet","2408581","0","AssignmentTimephasedDataSet","Project","Projet","NAVIGATION","","","","",""
"JeuDonnéesChronologiquesAffectation","FR","Tâche","2408581","0","AssignmentTimephasedDataSet","Task","Tâche","NAVIGATION","","","","",""
